n_grasp,semilla,score_grasp,score_vns,score_vns_general,t_vns_s,t_vnsgeneral_s
20,1,57.300000000000004,57.3,57.300000000000004,1.6267936409999493,0.20809263299997838
50,1,57.300000000000004,57.3,57.300000000000004,1.5986698000001525,0.18871780399967975
100,1,57.300000000000004,57.3,57.300000000000004,1.5101323520002552,0.1996178859999418
150,1,57.300000000000004,57.3,57.300000000000004,2.5961188710002716,0.3552958119998948
20,3,57.300000000000004,57.3,57.300000000000004,0.9303994320002857,0.22773351300020295
50,3,57.300000000000004,57.3,57.300000000000004,0.9570972299998175,0.22138811400009217
100,3,57.300000000000004,57.3,57.300000000000004,0.9711561939998319,0.22438217599983545
150,3,57.300000000000004,57.3,57.300000000000004,0.9455575829997542,0.2224631170001885
20,7,57.300000000000004,57.3,57.300000000000004,0.46807417899981374,0.06085971899983633
50,7,57.300000000000004,57.3,57.300000000000004,0.46600597399992694,0.06134932700024365
100,7,57.300000000000004,57.3,57.300000000000004,0.47630408900022303,0.06053647399994588
150,7,57.300000000000004,57.3,57.300000000000004,0.48124773200015625,0.06704522400013957
20,13,57.300000000000004,57.300000000000004,57.300000000000004,0.5316043660000105,0.20024317800016433
50,13,57.300000000000004,57.300000000000004,57.300000000000004,0.6054551160000301,0.22207954600025914
100,13,57.300000000000004,57.300000000000004,57.300000000000004,0.6024420470002951,0.20406199299986838
150,13,57.300000000000004,57.300000000000004,57.300000000000004,0.613181362999967,0.20246757099994284
20,21,57.300000000000004,57.300000000000004,57.300000000000004,0.9774217389999649,0.304413650999777
50,21,57.300000000000004,57.300000000000004,57.300000000000004,0.9899042749998443,0.3030416480000895
100,21,57.300000000000004,57.300000000000004,57.300000000000004,1.029141010999865,0.35022382799979823
150,21,57.300000000000004,57.300000000000004,57.300000000000004,0.9988616730001922,0.48304751999967266
20,29,57.3,57.300000000000004,57.3,0.8084585170004175,0.0846539459998894
50,29,57.3,57.300000000000004,57.3,0.8163749650002501,0.0835886599998048
100,29,57.30000000000001,57.300000000000004,57.300000000000004,0.3174824179995994,0.10483583499990345
150,29,57.30000000000001,57.300000000000004,57.300000000000004,0.34087157200019647,0.10112047499978871
20,37,57.300000000000004,57.3,57.300000000000004,1.2071035079998182,0.49467487699985213
50,37,57.300000000000004,57.3,57.300000000000004,0.6915760179999779,0.41676539499985665
100,37,57.300000000000004,57.3,57.300000000000004,0.7396779979999337,0.40560840099988127
150,37,57.30000000000001,57.300000000000004,57.300000000000004,0.3373035849999724,0.10076831100013806
20,42,57.300000000000004,57.3,57.300000000000004,0.5197116230001484,0.3450456120003764
50,42,57.300000000000004,57.3,57.300000000000004,0.5212762189999012,0.34341825699993933
100,42,57.300000000000004,57.3,57.300000000000004,0.6852898500001174,0.5987506380001832
150,42,57.300000000000004,57.3,57.300000000000004,0.8839837999998963,0.5884203000000525
20,55,57.300000000000004,57.300000000000004,57.300000000000004,0.6266833459999361,0.12000235200002862
50,55,57.300000000000004,57.300000000000004,57.300000000000004,0.6678408019997732,0.10683522299996184
100,55,57.300000000000004,57.300000000000004,57.300000000000004,0.6453358869998738,0.10969349499964665
150,55,57.300000000000004,57.300000000000004,57.300000000000004,0.6306884720002017,0.10955580399968312
20,71,57.300000000000004,57.300000000000004,57.3,0.43406530799984466,0.15940820299965708
50,71,57.300000000000004,57.300000000000004,57.3,0.37129845799972827,0.16074664600000688
100,71,57.300000000000004,57.300000000000004,57.3,0.37177540499988027,0.14087969000001976
150,71,57.300000000000004,57.300000000000004,57.3,0.3662399390000246,0.1619746680003118
