n_grasp,semilla,score_grasp,score_vns,mejora_vns,t_grasp_s,t_vns_s,t_total_s
20,1,71.39999999999999,76.0,4.6000000000000085,4.178616465000232,3.302253481000662,7.480869946000894
50,1,71.89999999999999,80.4,8.500000000000014,11.658999121998932,4.228902685998037,15.887901807996968
100,1,71.89999999999999,80.4,8.500000000000014,23.096612548997655,4.361135633997037,27.457748182994692
150,1,71.89999999999999,80.4,8.500000000000014,32.462615014999756,5.965804463001405,38.42841947800116
250,1,71.89999999999999,80.4,8.500000000000014,55.180370873000356,4.231188336998457,59.41155920999881
400,1,71.89999999999999,80.4,8.500000000000014,93.48293612899943,4.6998716489979415,98.18280777799737
20,3,67.6,67.6,0.0,5.240785098998458,4.972672624000552,10.21345772299901
50,3,67.6,67.6,0.0,10.703054580000753,3.41947008599891,14.122524665999663
100,3,71.7,80.5,8.799999999999997,22.403470371998992,10.502684005998162,32.906154377997154
150,3,71.7,80.5,8.799999999999997,33.46783637199769,8.512789255000826,41.98062562699852
250,3,71.7,80.5,8.799999999999997,54.96489643499808,10.365944945999217,65.3308413809973
400,3,71.8,84.7,12.900000000000006,86.595041984001,6.970303917001729,93.56534590100273
20,7,67.19999999999999,80.39999999999999,13.200000000000003,4.583467813998141,5.1606253259997175,9.744093139997858
50,7,67.6,67.6,0.0,10.068609019999712,6.237284695998824,16.305893715998536
100,7,67.6,67.6,0.0,20.933864585000265,8.18276299900026,29.116627584000526
150,7,71.39999999999999,80.39999999999999,9.0,32.3531677050014,13.53747192100127,45.89063962600267
250,7,76.1,76.1,0.0,52.854715047000354,1.723556668999663,54.57827171600002
400,7,76.1,76.1,0.0,85.12078503199882,1.8509728950011777,86.971757927
20,13,67.6,67.6,0.0,3.9252622309977596,1.9133164560007572,5.838578686998517
50,13,67.6,67.6,0.0,11.245287026998994,1.8499415340011183,13.095228561000113
100,13,71.6,80.60000000000001,9.000000000000014,20.85281805499835,6.618843864001974,27.471661919000326
150,13,71.6,80.60000000000001,9.000000000000014,31.711430498999107,4.755177107999771,36.46660760699888
250,13,71.6,80.60000000000001,9.000000000000014,54.17252429499786,4.833623161997821,59.00614745699568
400,13,71.6,80.60000000000001,9.000000000000014,86.25026339000033,6.698667185999511,92.94893057599984
20,21,67.3,80.2,12.900000000000006,3.700870163000218,4.1339189339996665,7.834789096999884
50,21,67.3,80.2,12.900000000000006,10.221798770999158,4.161356591001095,14.383155362000252
100,21,71.39999999999999,76.0,4.6000000000000085,20.328619036001328,3.53060890100096,23.859227937002288
150,21,71.69999999999999,80.60000000000001,8.90000000000002,31.655758208002226,3.9968240889975277,35.65258229699975
250,21,71.69999999999999,80.60000000000001,8.90000000000002,53.26911865900183,3.2927294800028903,56.561848139004724
400,21,71.69999999999999,80.60000000000001,8.90000000000002,85.6180020560023,3.2997550629988837,88.91775711900118
20,29,71.8,80.4,8.600000000000009,5.817617099997733,5.419690121998428,11.237307221996161
50,29,71.8,80.4,8.600000000000009,11.47044965600071,3.5005025140017096,14.97095217000242
100,29,71.8,80.4,8.600000000000009,22.98709905799842,3.2966283169989765,26.283727374997397
150,29,71.8,80.4,8.600000000000009,34.19193841900051,4.088996841997869,38.280935260998376
250,29,71.8,80.4,8.600000000000009,54.96247916399807,4.739541106999241,59.70202027099731
400,29,71.8,80.4,8.600000000000009,87.28368825299913,3.590780566999456,90.87446881999858
20,37,67.6,67.6,0.0,3.702769192001142,2.4130908970000746,6.115860089001217
50,37,67.6,67.6,0.0,11.273832942999434,2.431620146999194,13.705453089998628
100,37,67.6,67.6,0.0,21.655315607000375,3.876658666002186,25.53197427300256
150,37,71.39999999999999,80.3,8.900000000000006,32.02283479499965,8.7555294340018,40.778364229001454
250,37,76.0,80.5,4.5,54.41961707799783,11.778584105999471,66.1982011839973
400,37,76.0,80.5,4.5,86.5800364200004,11.929957940999884,98.50999436100028
20,42,67.4,67.39999999999999,-1.4210854715202004e-14,3.804256848998193,5.90992199700122,9.714178845999413
50,42,71.39999999999999,80.4,9.000000000000014,11.72420044699902,9.447341062001215,21.171541509000235
100,42,71.5,80.39999999999999,8.899999999999991,20.870702856998832,4.58657731600033,25.457280172999162
150,42,71.5,80.39999999999999,8.899999999999991,31.89746575800018,6.4572422620003636,38.354708020000544
250,42,71.5,80.39999999999999,8.899999999999991,54.91612546499891,4.560250829999859,59.47637629499877
400,42,71.6,80.30000000000001,8.700000000000017,87.07541420299822,2.741703220999625,89.81711742399784
20,55,63.300000000000004,67.39999999999999,4.099999999999987,5.53763549499854,3.8741569579979114,9.411792452996451
50,55,71.39999999999999,80.4,9.000000000000014,11.049431736999395,17.022201007999683,28.07163274499908
100,55,71.39999999999999,80.4,9.000000000000014,22.294973046999075,16.348614001999522,38.6435870489986
150,55,71.69999999999999,76.3,4.6000000000000085,33.381024850998074,2.7718746940008714,36.152899544998945
250,55,71.69999999999999,76.3,4.6000000000000085,54.40774869099914,2.8184783020005852,57.22622699299973
400,55,71.69999999999999,76.3,4.6000000000000085,86.30780390799919,3.5947510190017056,89.90255492700089
20,71,67.19999999999999,76.1,8.900000000000006,4.886235480997129,4.28062231000149,9.16685779099862
50,71,67.4,67.4,0.0,10.638869685997633,15.242924376998417,25.88179406299605
100,71,71.39999999999999,80.30000000000001,8.90000000000002,21.844146960997023,3.36160204800035,25.205749008997373
150,71,71.39999999999999,80.30000000000001,8.90000000000002,33.05485900599888,3.35459009799888,36.40944910399776
250,71,71.6,76.0,4.400000000000006,53.749658080996596,5.173667067003407,58.923325148
400,71,71.6,76.0,4.400000000000006,86.13376472699747,3.3362183530007314,89.4699830799982
