n_grasp,semilla,score_grasp,score_vns,score_vns_general,t_vns_s,t_vnsgeneral_s
20,1,57.300000000000004,57.3,57.300000000000004,1.6965346919969306,0.2167745789993205
50,1,57.300000000000004,57.3,57.300000000000004,3.4755061570031103,0.4053184180011158
100,1,57.300000000000004,57.3,57.300000000000004,2.244673032000719,0.19324736399721587
150,1,57.300000000000004,57.3,57.300000000000004,1.5878068109959713,0.20932638199883513
20,3,57.300000000000004,57.3,57.300000000000004,1.0257881430006819,0.25327475500671426
50,3,57.300000000000004,57.3,57.300000000000004,1.4103791689994978,0.42086170699622016
100,3,57.300000000000004,57.3,57.300000000000004,1.7026159060042119,0.43011114099499537
150,3,57.300000000000004,57.3,57.300000000000004,1.5204352400032803,0.27570388500316767
20,7,57.300000000000004,57.3,57.300000000000004,0.47246018500300124,0.06528487299510743
50,7,57.300000000000004,57.3,57.300000000000004,0.5037061190014356,0.06354573200223967
100,7,57.300000000000004,57.3,57.300000000000004,0.4728247220045887,0.06257015900337137
150,7,57.300000000000004,57.3,57.300000000000004,0.5167164970043814,0.06292539399873931
20,13,57.300000000000004,57.300000000000004,57.300000000000004,0.42336962099943776,0.11776622800243786
50,13,57.300000000000004,57.300000000000004,57.300000000000004,0.4487976910022553,0.1964249899974675
100,13,57.300000000000004,57.300000000000004,57.300000000000004,0.38178189899917925,0.11766467800043756
150,13,57.300000000000004,57.300000000000004,57.300000000000004,0.3531784219958354,0.12479975700262003
20,21,57.300000000000004,57.300000000000004,57.300000000000004,1.0215947649994632,0.307499149996147
50,21,57.300000000000004,57.300000000000004,57.300000000000004,1.8194939519962645,0.6806885469995905
100,21,57.300000000000004,57.300000000000004,57.300000000000004,1.821194012001797,0.5380804119995446
150,21,57.300000000000004,57.300000000000004,57.300000000000004,1.0123178840003675,0.3247230959968874
20,29,57.3,57.300000000000004,57.3,0.8257755829981761,0.08327881200239062
50,29,57.3,57.300000000000004,57.3,0.858000471998821,0.0860737019975204
100,29,57.30000000000001,57.300000000000004,57.300000000000004,0.32557076300145127,0.10748413800320122
150,29,57.30000000000001,57.300000000000004,57.300000000000004,0.40786985000158893,0.11693828500574455
20,37,57.300000000000004,57.3,57.300000000000004,0.7059781420030049,0.3943899900041288
50,37,57.300000000000004,57.3,57.300000000000004,0.7130042210046668,0.40832888400473166
100,37,57.300000000000004,57.3,57.300000000000004,0.7345991939946543,0.40754453699628357
150,37,57.30000000000001,57.300000000000004,57.300000000000004,0.35421705799672054,0.1018827509979019
20,42,57.300000000000004,57.3,57.300000000000004,0.9280046569983824,0.6169606410039705
50,42,57.300000000000004,57.3,57.300000000000004,0.7643192539981101,0.3545424479962094
100,42,57.300000000000004,57.3,57.300000000000004,0.5611735809943639,0.3627807590019074
150,42,57.300000000000004,57.3,57.300000000000004,0.5377800540009048,0.345418814002187
20,55,57.300000000000004,57.300000000000004,57.300000000000004,0.6716666880020057,0.12102952099667164
50,55,57.300000000000004,57.300000000000004,57.300000000000004,0.7423210369961453,0.12414233300660271
100,55,57.300000000000004,57.300000000000004,57.300000000000004,0.73321020900039,0.2003688359982334
150,55,57.300000000000004,57.300000000000004,57.300000000000004,1.1466206740005873,0.19241257300018333
20,71,57.300000000000004,57.300000000000004,57.3,0.40329065800324315,0.18463360800524242
50,71,57.300000000000004,57.300000000000004,57.3,0.4021608799957903,0.16687332200672245
100,71,57.300000000000004,57.300000000000004,57.3,0.4012384369998472,0.16476136600249447
150,71,57.300000000000004,57.300000000000004,57.3,0.3849221819982631,0.14983501799724763
